filepath,class_id
SVIRO\train\i3_train_imageID_1088_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1088_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1089_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1089_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_108_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_108_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1090_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1090_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1091_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1091_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1092_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1092_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1093_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1093_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1094_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1094_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1095_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1095_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1096_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1096_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1097_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1097_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1098_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1098_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1099_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1099_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_109_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_109_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_10_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_10_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1100_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1100_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1101_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1101_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1102_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1102_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1103_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1103_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1104_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1104_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1105_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1105_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1106_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1106_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1107_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1107_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1108_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1108_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1109_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1109_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_110_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_110_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1110_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1110_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1111_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1111_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1112_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1112_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1113_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1113_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1114_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1114_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1115_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1115_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1116_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1116_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1117_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1117_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1118_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1118_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1119_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1119_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_111_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_111_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1120_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1120_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1121_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1121_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1122_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1122_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1123_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1123_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1124_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1124_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1125_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1125_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1126_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1126_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1127_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1127_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1128_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1128_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1129_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1129_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_112_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_112_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1130_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1130_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1131_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1131_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1132_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1132_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1133_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1133_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1134_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1134_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1135_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1135_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1136_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1136_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1137_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1137_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1138_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1138_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1139_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1139_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_113_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_113_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1140_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1140_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1141_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1141_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1142_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1142_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1143_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1143_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1144_seatPosition_0_GT_2.png,1
SVIRO\train\i3_train_imageID_1144_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1145_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1145_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1146_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1146_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1147_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1147_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1148_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1148_seatPosition_2_GT_4.png,0
SVIRO\train\i3_train_imageID_1149_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1149_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_114_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_114_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1150_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1150_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1151_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_1151_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1152_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1152_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1153_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1153_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1154_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1154_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1155_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1155_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_1156_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_1156_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1157_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1157_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1158_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1158_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1159_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1159_seatPosition_2_GT_5.png,0
SVIRO\train\i3_train_imageID_115_seatPosition_0_GT_0.png,0
SVIRO\train\i3_train_imageID_115_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1160_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1160_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1161_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1161_seatPosition_2_GT_1.png,1
SVIRO\train\i3_train_imageID_1162_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1162_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1163_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1163_seatPosition_2_GT_2.png,1
SVIRO\train\i3_train_imageID_1164_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1164_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1165_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1165_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1166_seatPosition_0_GT_1.png,1
SVIRO\train\i3_train_imageID_1166_seatPosition_2_GT_0.png,0
SVIRO\train\i3_train_imageID_1167_seatPosition_0_GT_5.png,0
SVIRO\train\i3_train_imageID_1167_seatPosition_2_GT_3.png,1
SVIRO\train\i3_train_imageID_1168_seatPosition_0_GT_6.png,0
SVIRO\train\i3_train_imageID_1168_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_1169_seatPosition_0_GT_4.png,0
SVIRO\train\i3_train_imageID_1169_seatPosition_2_GT_6.png,0
SVIRO\train\i3_train_imageID_116_seatPosition_0_GT_3.png,1
SVIRO\train\i3_train_imageID_116_seatPosition_2_GT_6.png,0
